week_start,signal_date,direction,mon_high,mon_low,signal_close,weekly_close,weekly_close_date,win,ticker,category
2023-03-27,2023-03-29,long,69.67912713868118,68.66224735778036,69.72493743896484,70.61355590820312,2023-03-31,True,NEE,XLU holding
2023-04-03,2023-04-04,long,70.58607080651252,69.44093667265828,70.68683624267578,72.34500885009766,2023-04-06,True,NEE,XLU holding
2023-04-10,2023-04-12,long,71.91442325211428,70.82425332546029,71.99687957763672,71.47470092773438,2023-04-14,False,NEE,XLU holding
2023-04-17,2023-04-19,long,71.96024335382819,71.2639997313227,72.3175277709961,72.36333465576172,2023-04-21,True,NEE,XLU holding
2023-04-24,2023-04-25,short,72.60150798784278,71.91442747060768,71.2914810180664,70.20130157470703,2023-04-28,True,NEE,XLU holding
2023-05-01,2023-05-02,short,70.8883773044859,69.95395097404548,69.5691909790039,69.17526245117188,2023-05-05,True,NEE,XLU holding
2023-05-08,2023-05-10,long,70.25627502948234,68.96456030886515,70.43949890136719,71.41973114013672,2023-05-12,True,NEE,XLU holding
2023-05-15,2023-05-16,short,71.94190211748725,70.37535953925716,69.47758483886719,68.23168182373047,2023-05-19,True,NEE,XLU holding
2023-05-22,2023-05-23,short,68.86378025670822,68.22250797789592,67.93853759765625,68.15326690673828,2023-05-26,True,NEE,XLU holding
2023-06-05,2023-06-08,long,69.04757680320584,67.60927993957009,69.05681610107422,68.29155731201172,2023-06-09,False,NEE,XLU holding
2023-06-12,2023-06-14,short,68.66035921611059,67.94121062611751,67.673828125,69.69298553466797,2023-06-16,False,NEE,XLU holding
2023-06-20,2023-06-23,short,70.22773986412022,68.68802344293665,68.38375854492188,68.38375854492188,2023-06-23,True,NEE,XLU holding
2023-06-26,2023-06-28,short,68.95539342312391,68.05184326660415,67.71072387695312,68.41140747070312,2023-06-30,False,NEE,XLU holding
2023-07-03,2023-07-05,long,68.6603521525119,67.76602390878782,69.10292053222656,66.42916870117188,2023-07-07,False,NEE,XLU holding
2023-07-10,2023-07-12,long,66.83481779275822,65.5532567681078,67.73837280273438,67.48943328857422,2023-07-14,True,NEE,XLU holding
2023-07-17,2023-07-18,short,67.69226676818457,66.79793847841522,66.42916870117188,69.97880554199219,2023-07-21,False,NEE,XLU holding
2023-07-24,2023-07-26,short,70.68873893016246,69.49016009598341,68.56816864013672,67.16674041748047,2023-07-28,True,NEE,XLU holding
2023-07-31,2023-08-01,short,68.66034962641577,67.34190838417291,66.53977966308594,63.77383804321289,2023-08-04,True,NEE,XLU holding
2023-08-07,2023-08-10,short,64.28091116197172,63.25750540502294,62.962467193603516,63.543331146240234,2023-08-11,False,NEE,XLU holding
2023-08-14,2023-08-15,short,63.552544323429395,62.97169522732867,62.09580993652344,62.53836441040039,2023-08-18,True,NEE,XLU holding
2023-08-21,2023-08-23,long,62.51070969276007,61.46886007621993,62.593685150146484,62.65821838378906,2023-08-25,True,NEE,XLU holding
2023-08-28,2023-08-29,short,63.24828930922266,62.67666202912916,62.674560546875,62.08039855957031,2023-09-01,True,NEE,XLU holding
2023-09-05,2023-09-06,short,62.45174196468121,61.0963162081444,60.98491287231445,62.04325866699219,2023-09-08,False,NEE,XLU holding
2023-09-11,2023-09-13,long,63.02734205351601,62.15466778722804,63.528648376464844,63.72360610961914,2023-09-15,True,NEE,XLU holding
2023-09-18,2023-09-19,short,63.927859057908506,63.04590624823136,62.748817443847656,62.8509407043457,2023-09-22,True,NEE,XLU holding
2023-09-25,2023-09-26,short,62.66527075247291,61.99684006451035,60.65997314453125,53.18656921386719,2023-09-29,True,NEE,XLU holding
2023-10-02,2023-10-05,short,52.34174953467449,46.58582756055992,45.90811538696289,46.64152908325195,2023-10-06,False,NEE,XLU holding
2023-10-09,2023-10-10,long,46.808632537916665,44.91475157522388,47.885555267333984,50.58712387084961,2023-10-13,True,NEE,XLU holding
2023-10-16,2023-10-18,short,51.097719847628056,49.72372637513748,49.4266471862793,48.23832702636719,2023-10-20,True,NEE,XLU holding
2023-10-23,2023-10-24,long,48.79536335537178,47.300679893959305,51.17198944091797,52.2117805480957,2023-10-27,True,NEE,XLU holding
2023-10-30,2023-10-31,long,53.35367357762404,51.775436517226886,54.12421798706055,55.126869201660156,2023-11-03,True,NEE,XLU holding
2023-11-06,2023-11-07,short,55.591052797447276,54.64411060824358,54.272769927978516,51.1905632019043,2023-11-10,True,NEE,XLU holding
2023-11-13,2023-11-14,long,51.11628826279268,49.955820432519694,53.42793655395508,53.26083755493164,2023-11-17,True,NEE,XLU holding
2023-11-20,2023-11-21,long,53.54863003993847,52.27675823739922,53.82714080810547,53.862701416015625,2023-11-24,True,NEE,XLU holding
2023-11-27,2023-11-28,long,54.00309950292057,53.2262767840751,54.43362808227539,55.3789176940918,2023-12-01,True,NEE,XLU holding
2023-12-04,2023-12-05,short,55.71583756232448,54.82670810258437,54.49913787841797,55.87495422363281,2023-12-08,False,NEE,XLU holding
2023-12-11,2023-12-13,long,56.09957488655558,54.77991532962858,58.504913330078125,57.559627532958984,2023-12-15,True,NEE,XLU holding
2023-12-18,2023-12-20,short,58.12117984730056,56.95126879103215,56.005985260009766,55.9217529296875,2023-12-22,True,NEE,XLU holding
2023-12-26,2023-12-27,long,56.67984925494723,55.80007390042277,56.69857406616211,56.84832000732422,2023-12-29,True,NEE,XLU holding
2024-01-08,2024-01-11,short,59.019674395081324,57.64385784708142,56.82960510253906,57.12910079956055,2024-01-12,True,NEE,XLU holding
2024-01-16,2024-01-17,short,57.27884471221383,56.35227360602408,54.53657913208008,53.591285705566406,2024-01-19,True,NEE,XLU holding
2024-01-22,2024-01-25,long,54.087329270304615,53.029728666762786,54.26515579223633,54.733123779296875,2024-01-26,True,NEE,XLU holding
2024-01-29,2024-02-02,short,55.95918995545368,54.4804205752881,54.42426300048828,54.42426300048828,2024-02-02,True,NEE,XLU holding
2024-02-12,2024-02-13,short,53.9375774333216,52.87997689572725,51.7100715637207,53.37601852416992,2024-02-16,False,NEE,XLU holding
2024-03-04,2024-03-05,long,52.01337053974573,50.95553651448575,52.32505798339844,54.60128402709961,2024-03-08,True,NEE,XLU holding
2024-03-11,2024-03-13,long,54.91297322696346,53.73235373514548,56.23527145385742,56.74530029296875,2024-03-15,True,NEE,XLU holding
2024-03-18,2024-03-19,long,57.74645352378333,56.14081047459318,57.86924362182617,58.35093688964844,2024-03-22,True,NEE,XLU holding
2024-03-25,2024-03-27,long,59.1632023361728,58.00147320942007,60.24937438964844,60.36272048950195,2024-03-28,True,NEE,XLU holding
2024-04-01,2024-04-03,short,60.49494310604246,59.27653937390835,59.07819366455078,60.61772918701172,2024-04-05,False,NEE,XLU holding
2024-04-08,2024-04-09,long,61.31664667265063,60.38159813704434,61.75111770629883,59.578773498535156,2024-04-12,False,NEE,XLU holding
